name,salary,area_name,published_at
Заместитель начальника отдела закупок,[151958.],Москва,2003-08-25T00:00:00+0400
Программист Visual C++,[15195.8],Санкт-Петербург,2003-08-25T00:00:00+0400
Инженер-конструктор,[15195.8],Санкт-Петербург,2003-08-25T00:00:00+0400
Менеджер по маркетингу,[21274.12],Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер по развитию бизнеса.,[60999.6],Москва,2003-09-26T00:00:00+0400
Technical Consultant (telecom sphere),[91499.4],Москва,2003-09-01T00:00:00+0400
Функциональный консультант,[60999.6],Москва,2003-09-01T00:00:00+0400
C Developer.,[39649.74],Москва,2003-09-01T00:00:00+0400
SAP R/3 (SD module) Консультант,[91499.4],Москва,2003-09-01T00:00:00+0400
Team Leader,[45749.7],Санкт-Петербург,2003-09-01T00:00:00+0400
С/C++ разработчика под Linux,[36599.76],Санкт-Петербург,2003-09-01T00:00:00+0400
PMA-2 Администратор проектов,[48799.68],Москва,2003-09-22T00:00:00+0400
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,[39509.08],Москва,2003-08-26T00:00:00+0400
Маркетолог,[48799.68],Москва,2003-09-30T00:00:00+0400
Разработчик компиляторов,[30391.6],Санкт-Петербург,2003-08-27T00:00:00+0400
Руководитель проектов,[36469.92],Санкт-Петербург,2003-08-27T00:00:00+0400
Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,[101655.8334],Москва,2003-09-03T00:00:00+0400
Руководитель проекта внедрения (Oracle EBS),[75211.75],Москва,2003-10-27T00:00:00+0300
Менеджер по продажам IT проектов,[151958.],Москва,2003-08-29T00:00:00+0400
Менеджер по работе с клиентами,[151958.],Москва,2003-08-29T00:00:00+0400
Инженер группы внедрения программных продуктов,[21939.975],Санкт-Петербург,2003-12-01T00:00:00+0300
Service Project Manager,[51143.99],Москва,2003-10-07T00:00:00+0400
Специалист по SAP R/3,[60783.2],Москва,2003-08-14T17:40:03+0400
Специалист по поддержке банковских приложений,[75979.],Москва,2003-08-15T11:37:41+0400
IT - директор (CIO),[106749.3],Москва,2003-09-10T00:00:00+0400
Руководитель отдела маркетинга,[75979.],Москва,2003-08-15T13:05:04+0400
Sales Director,[151958.],Москва,2003-08-15T15:01:10+0400
Системный аналитик,[45587.4],Москва,2003-08-15T18:20:06+0400
Менеджер по IT и системному интегрированию,[91499.4],Москва,2003-09-05T00:00:00+0400
Business Application Specialist,[44067.82],Москва,2003-08-18T10:15:10+0400
Database Developer/Business analyst,[48626.56],Москва,2003-08-18T10:39:13+0400
Developer and Analyst,[30391.6],Москва,2003-08-18T10:53:37+0400
Sales Manager,[91174.8],Москва,2003-08-18T11:47:53+0400
Системный администратор,[12156.64],Москва,2003-08-18T13:30:28+0400
Rational Product Technical Sales,[91174.8],Москва,2003-08-18T15:15:55+0400
Product Manager,[60783.2],Москва,2003-08-18T15:48:40+0400
ERP - consultant,[54704.88],Москва,2003-08-18T17:35:51+0400
Программист,[24313.28],Москва,2003-08-18T18:40:13+0400
SNA / IT - manager,[39509.08],Москва,2003-08-18T18:44:42+0400
Разработчик биллинговой системы (С++/Oracle),[40954.62],Москва,2003-12-02T00:00:00+0300
Telecom Engineer,[45587.4],Москва,2003-08-19T11:17:22+0400
Sales Engineer,[60783.2],Москва,2003-08-19T13:40:44+0400

